customer_name,country,iban_or_acct,ts,amount,currency,merchant,counterparty,country_txn,channel,direction,base_risk
Alice Corp,USA,US123456789,2026-02-13T21:47:49,1314.91,USD,Acme Inc,Trade Ltd,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-13T23:47:49,565.29,USD,Global Inc,Acme Ltd,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-14T01:47:49,1385.73,USD,Acme Inc,Pay Ltd,FRA,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-14T03:47:49,160.39,USD,Acme Inc,Global Ltd,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-14T05:47:49,542.06,USD,Acme Inc,Global Ltd,IR,wire,out,10
Alice Corp,USA,US123456789,2026-02-14T07:47:49,1460.44,USD,Pay Inc,Global Ltd,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-14T09:47:49,953.5,USD,Trade Inc,Acme Ltd,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-14T11:47:49,1541.73,USD,Global Inc,Pay Ltd,FRA,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-14T13:47:49,746.48,USD,Global Inc,Global Ltd,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-14T15:47:49,1918.7,USD,Trade Inc,Acme Ltd,IR,wire,out,10
Alice Corp,USA,US123456789,2026-02-14T17:47:49,276.22,USD,Acme Inc,Trade Ltd,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-14T19:47:49,1710.24,USD,Trade Inc,Acme Ltd,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-14T21:47:49,1486.49,USD,Acme Inc,Pay Ltd,FRA,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-14T23:47:49,249.72,USD,Trade Inc,Trade Ltd,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-15T01:47:49,1196.97,USD,Acme Inc,Acme Ltd,IR,wire,out,10
Alice Corp,USA,US123456789,2026-02-15T03:47:49,1356.4,USD,Trade Inc,Acme Ltd,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-15T05:47:49,1725.1,USD,Acme Inc,Pay Ltd,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-15T07:47:49,628.15,USD,Trade Inc,Global Ltd,FRA,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-15T09:47:49,803.34,USD,Global Inc,Trade Ltd,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-15T11:47:49,1433.46,USD,Acme Inc,Global Ltd,IR,wire,out,10
Alice Corp,USA,US123456789,2026-02-15T13:47:49,1114.87,USD,Global Inc,Global Ltd,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-15T15:47:49,978.29,USD,Trade Inc,Global Ltd,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-15T17:47:49,1400.77,USD,Acme Inc,Global Ltd,FRA,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-15T19:47:49,1661.42,USD,Trade Inc,Pay Ltd,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-15T21:47:49,608.71,USD,Global Inc,Trade Ltd,IR,wire,out,10
Alice Corp,USA,US123456789,2026-02-15T23:47:49,503.99,USD,Pay Inc,Pay Ltd,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-16T01:47:49,1780.9,USD,Pay Inc,Global Ltd,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T03:47:49,603.27,USD,Global Inc,Trade Ltd,FRA,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-16T05:47:49,1519.33,USD,Pay Inc,Pay Ltd,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-16T07:47:49,787.79,USD,Global Inc,Pay Ltd,IR,wire,out,10
Alice Corp,USA,US123456789,2026-02-14T21:47:49,50000,USD,Big Payee,Big Payee,USA,wire,out,10
Bob Ltd,GBR,GB98MIDL12345678901234,2026-02-15T21:47:49,1000,USD,sanctioned entity,sanctioned entity,GBR,wire,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T21:47:49,500,EUR,Retail,Retail,FRA,card,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T21:49:49,500,EUR,Retail,Retail,FRA,card,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T21:51:49,500,EUR,Retail,Retail,FRA,card,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T21:53:49,500,EUR,Retail,Retail,FRA,card,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T21:55:49,500,EUR,Retail,Retail,FRA,card,out,10
Carol Inc,FRA,FR7630006000011234567890189,2026-02-16T21:57:49,500,EUR,Retail,Retail,FRA,card,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-17T21:52:49,9200,USD,Split Pay,Split Pay,DEU,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-17T21:52:49,9200,USD,Split Pay,Split Pay,DEU,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-17T21:52:49,9200,USD,Split Pay,Split Pay,DEU,wire,out,10
Dave LLC,DEU,DE89370400440532013000,2026-02-17T21:52:49,9200,USD,Split Pay,Split Pay,DEU,wire,out,10
Eve SARL,IR,IR123456789,2026-02-18T21:47:49,3000,USD,Local,Local,IR,wire,out,15
